
2024/10/19 (14:13:56) | ===> btop++ v.1.4.0
2024/10/19 (14:13:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (18:07:48) | ===> btop++ v.1.4.0
2024/10/22 (18:07:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (17:24:28) | ===> btop++ v.1.4.0
2024/10/26 (17:24:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (01:49:32) | ===> btop++ v.1.4.0
2024/10/28 (01:49:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (16:41:52) | ===> btop++ v.1.4.0
2024/10/29 (16:41:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (16:42:55) | ===> btop++ v.1.4.0
2024/10/29 (16:42:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (13:33:27) | ===> btop++ v.1.4.0
2024/11/29 (13:33:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (00:12:18) | ===> btop++ v.1.4.0
2024/12/27 (00:12:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (00:12:52) | ===> btop++ v.1.4.0
2024/12/27 (00:12:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (15:08:13) | ===> btop++ v.1.4.0
2025/01/09 (15:08:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (18:59:11) | ===> btop++ v.1.4.0
2025/01/12 (18:59:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (00:08:34) | ===> btop++ v.1.4.0
2025/01/20 (00:08:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (15:21:21) | ===> btop++ v.1.4.0
2025/01/30 (15:21:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (16:51:04) | ===> btop++ v.1.4.0
2025/02/10 (16:51:04) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/02/10 (16:51:09) | ===> btop++ v.1.4.0
2025/02/10 (16:51:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (08:47:07) | ===> btop++ v.1.4.0
2025/02/12 (08:47:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (13:09:57) | ===> btop++ v.1.4.0
2025/02/13 (13:09:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (13:12:26) | ===> btop++ v.1.4.0
2025/02/13 (13:12:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (18:38:31) | ===> btop++ v.1.4.0
2025/02/23 (18:38:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (14:56:10) | ===> btop++ v.1.4.0
2025/02/26 (14:56:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (23:19:53) | ===> btop++ v.1.4.0
2025/02/26 (23:19:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (21:26:09) | ===> btop++ v.1.4.0
2025/02/27 (21:26:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (01:08:27) | ===> btop++ v.1.4.0
2025/03/04 (01:08:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (23:50:54) | ===> btop++ v.1.4.0
2025/03/04 (23:50:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (20:22:38) | ===> btop++ v.1.4.0
2025/03/11 (20:22:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (13:52:50) | ===> btop++ v.1.4.0
2025/03/27 (13:52:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (21:19:32) | ===> btop++ v.1.4.0
2025/04/20 (21:19:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (22:18:26) | ===> btop++ v.1.4.0
2025/04/20 (22:18:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (22:18:28) | ===> btop++ v.1.4.0
2025/04/20 (22:18:28) | WARNING: Intel GPU: Failed to initialize PMU
